OID_b,FID,COUNT_b,AREA_b,MEAN_b
550,549,159886,159886,0
551,550,159908,159908,0
552,551,107533,107533,0
553,552,124939,124939,0
554,553,159872,159872,0
555,554,159914,159914,0
556,555,159912,159912,0
557,556,159891,159891,0.010874483
558,557,159913,159913,0
559,558,159909,159909,0
560,559,159872,159872,0
561,560,159882,159882,0
562,561,159907,159907,0.009106635
563,562,159903,159903,0
564,563,159898,159898,0
565,564,159912,159912,0.071781536
566,565,159911,159911,0.156042231
567,566,159871,159871,0.031424648
568,567,159888,159888,0.183860675
569,568,159896,159896,0.20870556
570,569,159888,159888,0.251834957
571,570,159910,159910,0.10974449
572,571,159910,159910,0.280742263
573,572,159887,159887,0.270757044
574,573,159900,159900,0.251571762
575,574,159886,159886,1.192030265
576,575,159865,159865,0.368304929
577,576,159911,159911,0.106840499
578,577,159909,159909,0.085022741
579,578,159888,159888,0.112261069
580,579,159907,159907,0.035876968
581,580,159904,159904,7.53E-06
582,581,159873,159873,0.029432061
583,582,159874,159874,0.20163275
584,583,159907,159907,0.037805335
585,584,159907,159907,0
586,585,159887,159887,0.002968859
587,586,159908,159908,0.005348763
588,587,159907,159907,0
589,588,159860,159860,0
590,589,159884,159884,0
591,590,159904,159904,0.00396983
592,591,159884,159884,0.010919484
593,592,159908,159908,0
594,593,159908,159908,0
595,594,159882,159882,0
596,595,159883,159883,0
597,596,159884,159884,0
598,597,106617,106617,0
599,598,125898,125898,0
600,599,159885,159885,0.073709206
601,600,159890,159890,0.070205261
602,601,159891,159891,0
603,602,159885,159885,0
604,603,159912,159912,0.002272882
605,604,159913,159913,0
606,605,159889,159889,0
607,606,159912,159912,0
608,607,159894,159894,0.070469429
609,608,159865,159865,0.277277327
610,609,159899,159899,0.107572325
611,610,159912,159912,0.041324244
612,611,159887,159887,0.03772546
613,612,159912,159912,0.195287834
614,613,159911,159911,0.224835603
615,614,159885,159885,0.215988968
616,615,159880,159880,0.216534038
617,616,159890,159890,0.270906327
618,617,159903,159903,0.311593901
619,618,159894,159894,0.23390291
620,619,159910,159910,0.236403761
621,620,159910,159910,0.364343235
622,621,159882,159882,0.248659021
623,622,159886,159886,0.34941565
624,623,159885,159885,0.082719705
625,624,159882,159882,0.069937416
626,625,159910,159910,0.044310083
627,626,159910,159910,0
628,627,159885,159885,0
629,628,159908,159908,0.021849173
630,629,159887,159887,0.000454322
631,630,159859,159859,0
632,631,159902,159902,0.005387631
633,632,159909,159909,0.00227473
634,633,159891,159891,0
635,634,159901,159901,0
636,635,159908,159908,0.036850225
637,636,159880,159880,0.001160158
638,637,159866,159866,0.01837558
639,638,159898,159898,0
640,639,159908,159908,0
641,640,159883,159883,0
642,641,159908,159908,0
643,642,159905,159905,0
