OID_,FID,COUNT,AREA,MEAN
1420,1419,159907.000000000000000,159907.000000000000000,0.000000000000000
1421,1420,159881.000000000000000,159881.000000000000000,0.000000000000000
1422,1421,159874.000000000000000,159874.000000000000000,0.000000000000000
1423,1422,159883.000000000000000,159883.000000000000000,0.000000000000000
1424,1423,159897.000000000000000,159897.000000000000000,0.000000000000000
1425,1424,159889.000000000000000,159889.000000000000000,0.000000000000000
1426,1425,89964.000000000000000,89964.000000000000000,0.000000000000000
1427,1426,142584.000000000000000,142584.000000000000000,0.900240404199346
1428,1427,159888.000000000000000,159888.000000000000000,2.289712913804830
1429,1428,159886.000000000000000,159886.000000000000000,2.483060730834786
1430,1429,159901.000000000000000,159901.000000000000000,2.075024544338749
1431,1430,159911.000000000000000,159911.000000000000000,2.126153546361408
1432,1431,159901.000000000000000,159901.000000000000000,2.183048143393443
1433,1432,159896.000000000000000,159896.000000000000000,0.904149675438454
1434,1433,159900.000000000000000,159900.000000000000000,0.327652313824070
1435,1434,159882.000000000000000,159882.000000000000000,1.492008213761831
1436,1435,159870.000000000000000,159870.000000000000000,1.193867756581152
1437,1436,159908.000000000000000,159908.000000000000000,1.071476900533111
1438,1437,159911.000000000000000,159911.000000000000000,1.243977167186626
1439,1438,159885.000000000000000,159885.000000000000000,2.012581071568222
1440,1439,159910.000000000000000,159910.000000000000000,2.039462567681826
1441,1440,159903.000000000000000,159903.000000000000000,1.058777356069787
1442,1441,159860.000000000000000,159860.000000000000000,0.777287842087035
1443,1442,159885.000000000000000,159885.000000000000000,0.271995756158417
1444,1443,159909.000000000000000,159909.000000000000000,0.030839849563090
1445,1444,159884.000000000000000,159884.000000000000000,0.100849438398381
1446,1445,159908.000000000000000,159908.000000000000000,0.068417592431168
1447,1446,159909.000000000000000,159909.000000000000000,0.209426158208476
1448,1447,159882.000000000000000,159882.000000000000000,0.386040162211641
1449,1448,159884.000000000000000,159884.000000000000000,0.456922940885069
1450,1449,159884.000000000000000,159884.000000000000000,0.414552773012326
1451,1450,159880.000000000000000,159880.000000000000000,0.639356338199388
1452,1451,159908.000000000000000,159908.000000000000000,1.182125653685506
1453,1452,159907.000000000000000,159907.000000000000000,0.554290822153934
1454,1453,159889.000000000000000,159889.000000000000000,0.359601417166782
1455,1454,159900.000000000000000,159900.000000000000000,0.940182524508716
1456,1455,159884.000000000000000,159884.000000000000000,1.030936670877150
1457,1456,159870.000000000000000,159870.000000000000000,0.856549622219609
1458,1457,159890.000000000000000,159890.000000000000000,0.641571389435151
1459,1458,159906.000000000000000,159906.000000000000000,0.268450187801523
1460,1459,159902.000000000000000,159902.000000000000000,0.430689214662601
1461,1460,159886.000000000000000,159886.000000000000000,0.694755250714554
1462,1461,159905.000000000000000,159905.000000000000000,0.727697026965532
1463,1462,159882.000000000000000,159882.000000000000000,3.010169280678698
1464,1463,159856.000000000000000,159856.000000000000000,0.293152271263498
1465,1464,159902.000000000000000,159902.000000000000000,0.000000000000000
1466,1465,159905.000000000000000,159905.000000000000000,0.000000000000000
1467,1466,159882.000000000000000,159882.000000000000000,0.000000000000000
1468,1467,159906.000000000000000,159906.000000000000000,0.000000000000000
1469,1468,159902.000000000000000,159902.000000000000000,0.000000000000000
1470,1469,159855.000000000000000,159855.000000000000000,0.000000000000000
1471,1470,159880.000000000000000,159880.000000000000000,0.000000000000000
1472,1471,89053.000000000000000,89053.000000000000000,0.000000000000000
1473,1472,143516.000000000000000,143516.000000000000000,0.000000000000000
1474,1473,159911.000000000000000,159911.000000000000000,1.098724825542918
1475,1474,159877.000000000000000,159877.000000000000000,3.081443539381674
1476,1475,159888.000000000000000,159888.000000000000000,2.673961515721539
1477,1476,159888.000000000000000,159888.000000000000000,1.075103149177387
1478,1477,159889.000000000000000,159889.000000000000000,1.797998082719861
1479,1478,159910.000000000000000,159910.000000000000000,2.008938426493101
1480,1479,159909.000000000000000,159909.000000000000000,1.638818781673284
1481,1480,159889.000000000000000,159889.000000000000000,1.732095567157256
1482,1481,159904.000000000000000,159904.000000000000000,1.538953276522191
1483,1482,159888.000000000000000,159888.000000000000000,1.351250195663097
1484,1483,159864.000000000000000,159864.000000000000000,2.028441737007514
1485,1484,159903.000000000000000,159903.000000000000000,1.909719755669473
1486,1485,159909.000000000000000,159909.000000000000000,0.611984484327327
1487,1486,159894.000000000000000,159894.000000000000000,0.422278429083600
1488,1487,159900.000000000000000,159900.000000000000000,0.284615578904898
1489,1488,159910.000000000000000,159910.000000000000000,0.533902600829722
1490,1489,159876.000000000000000,159876.000000000000000,0.135646849177986
1491,1490,159870.000000000000000,159870.000000000000000,0.039125852464936
1492,1491,159900.000000000000000,159900.000000000000000,0.114010697794823
1493,1492,159906.000000000000000,159906.000000000000000,0.249933130651390
1494,1493,159886.000000000000000,159886.000000000000000,0.518519232092756
1495,1494,159908.000000000000000,159908.000000000000000,0.400356633668483
1496,1495,159908.000000000000000,159908.000000000000000,0.095095789545541
1497,1496,159863.000000000000000,159863.000000000000000,0.305639561655121
1498,1497,159884.000000000000000,159884.000000000000000,1.152179868521134
1499,1498,159897.000000000000000,159897.000000000000000,0.756483996326816
1500,1499,159883.000000000000000,159883.000000000000000,0.852067996024888
1501,1500,159908.000000000000000,159908.000000000000000,1.203237091048415
1502,1501,159906.000000000000000,159906.000000000000000,1.318054475469766
1503,1502,159883.000000000000000,159883.000000000000000,1.147197988203113
1504,1503,159887.000000000000000,159887.000000000000000,0.671240831338969
1505,1504,159882.000000000000000,159882.000000000000000,0.279305993129038
1506,1505,159871.000000000000000,159871.000000000000000,0.971051322050859
1507,1506,159907.000000000000000,159907.000000000000000,0.595899935486796
1508,1507,159906.000000000000000,159906.000000000000000,0.681856786502627
1509,1508,159885.000000000000000,159885.000000000000000,2.706622526321099
1510,1509,159902.000000000000000,159902.000000000000000,1.134728633253052
1511,1510,159886.000000000000000,159886.000000000000000,0.000000000000000
1512,1511,159868.000000000000000,159868.000000000000000,0.000000000000000
1513,1512,159884.000000000000000,159884.000000000000000,0.000000000000000
1514,1513,159905.000000000000000,159905.000000000000000,0.000000000000000
1515,1514,159902.000000000000000,159902.000000000000000,0.000000000000000
1516,1515,159885.000000000000000,159885.000000000000000,0.000000000000000
1517,1516,159905.000000000000000,159905.000000000000000,0.000000000000000
1518,1517,88090.000000000000000,88090.000000000000000,0.000000000000000
1519,1518,144428.000000000000000,144428.000000000000000,0.000000000000000
1520,1519,159908.000000000000000,159908.000000000000000,1.186775475847037
1521,1520,159892.000000000000000,159892.000000000000000,2.067680851696778
1522,1521,159908.000000000000000,159908.000000000000000,1.949656605145019
1523,1522,159910.000000000000000,159910.000000000000000,1.920986842673771
1524,1523,159865.000000000000000,159865.000000000000000,1.907031877284054
1525,1524,159886.000000000000000,159886.000000000000000,2.248047330799615
1526,1525,159904.000000000000000,159904.000000000000000,1.378108119831006
1527,1526,159885.000000000000000,159885.000000000000000,1.974431749849616
1528,1527,159912.000000000000000,159912.000000000000000,1.791329793344647
1529,1528,159909.000000000000000,159909.000000000000000,1.383312193685643
1530,1529,159887.000000000000000,159887.000000000000000,1.383468604548153
1531,1530,159889.000000000000000,159889.000000000000000,1.147446735638480
1532,1531,159885.000000000000000,159885.000000000000000,1.341672124271271
1533,1532,159874.000000000000000,159874.000000000000000,0.837270184582803
1534,1533,159908.000000000000000,159908.000000000000000,1.442556469825185
1535,1534,159909.000000000000000,159909.000000000000000,1.006152829942660
1536,1535,159885.000000000000000,159885.000000000000000,0.159493367776424
1537,1536,159908.000000000000000,159908.000000000000000,0.133689314421437
1538,1537,159892.000000000000000,159892.000000000000000,0.178282335892279
1539,1538,159860.000000000000000,159860.000000000000000,0.412498729452392
1540,1539,159893.000000000000000,159893.000000000000000,0.875133990439228
1541,1540,159908.000000000000000,159908.000000000000000,0.980092622777135
1542,1541,159888.000000000000000,159888.000000000000000,0.268668731984155
1543,1542,159903.000000000000000,159903.000000000000000,0.419232087710163
1544,1543,159907.000000000000000,159907.000000000000000,0.402719211042210
1545,1544,159880.000000000000000,159880.000000000000000,0.329071479742007
1546,1545,159872.000000000000000,159872.000000000000000,0.658134178126503
1547,1546,159890.000000000000000,159890.000000000000000,0.898463229225241
1548,1547,159902.000000000000000,159902.000000000000000,0.868526743538774
1549,1548,159888.000000000000000,159888.000000000000000,0.884347783950166
1550,1549,159906.000000000000000,159906.000000000000000,0.434023030236345
1551,1550,159907.000000000000000,159907.000000000000000,0.237253371165728
1552,1551,159869.000000000000000,159869.000000000000000,0.587613667608361
1553,1552,159881.000000000000000,159881.000000000000000,0.947851541274488
1554,1553,159890.000000000000000,159890.000000000000000,0.549842788951096
1555,1554,159882.000000000000000,159882.000000000000000,1.850435465847533
